Product Name,Advisory Number,Date Posted
Apros Herbal Oil 120ml,FDA Advisory No. 2020-015,2020-01-17
Nature's Liniment Oil with Negative Ion 65ml,FDA Advisory No. 2020-016,2020-01-17
Apros Herbal Oil 120ml,FDA Advisory No. 2020-017,2020-01-17
Propol-Eyes Ilog Maria Honeybee Farm 15ml,FDA Advisory No. 2020-018,2020-01-17
Aro Baro Churo 100% Pure Organic Bees Balm Herbal Ointment 15g,FDA Advisory No. 2020-019,2020-01-17
Joco Balm Of Bees Pure Organic & Herbal Ointment 10g,FDA Advisory No. 2020-020,2020-01-20
San Sierra Mint Fresh Herbal Oil 15mL,FDA Advisory No. 2020-020,2020-01-20
New! Era Luyang Dilaw Vaporizing Rub with Sambong Extract 32g,FDA Advisory No. 2020-021,2020-01-20
El Shaddai Menthol Healing Oil,FDA Advisory No. 2020-022,2020-01-20
El Shaddai Sampaguita Olive Oil,FDA Advisory No. 2020-022,2020-01-20
"Hair Grower Herbal Black Soap with Minoxidil, Patchouli, Aloe Vera, Henna and Coconut Milk 135 grams",FDA Advisory No. 2020-023,2020-01-20
Mountain Brand Inhaler Ong Hit Cao Cap Ong Hit Kufon Truong Son Inhaler,FDA Advisory No. 2020-024,2020-01-20
Turmeric With Moringa Liniment 60ml,FDA Advisory No. 2020-098,2020-02-12
"Saint Roche Premium Organic Dog Shampoo Hypoallergenic*Removes Ticks, Mites Fleas And Odors 100% Natural Ingredients Moringa, Oatmeal, Eucalyptus and Aloe Vera Oil Extracts 250 ml",FDA Advisory No. 2020-099,2020-02-12
Pure Herbal Wonder Rubbing Oil 60ml,FDA Advisory No. 2020-100,2020-02-13
Tinctura Arnica 30ml,FDA Advisory No. 2020-100,2020-02-13
Quick + Plus Spot On 12ml,FDA Advisory No. 2020-101,2020-02-13
Super Magsun Methyl Salicylate Herbal Oil 60ml,FDA Advisory No. 2020-101,2020-02-13
72 [Label in foreign language] 1000mg,FDA Advisory No. 2020-102,2020-02-13
African Viagra 4500mg,FDA Advisory No. 2020-102,2020-02-13
Qing Tian Zhu 150mg,FDA Advisory No. 2020-102,2020-02-13
Tianli One Night 8 Times 3500mg,FDA Advisory No. 2020-102,2020-02-13
VigRX For Men,FDA Advisory No. 2020-102,2020-02-13
[Unlabelled Pink Capsules],FDA Advisory No. 2020-102,2020-02-13
Chua Hua Pai 60’s,FDA Advisory No. 2020-103,2020-02-13
Eurocin-A Gel 1% 15g,FDA Advisory No. 2020-103,2020-02-13
Fortune Decaugh® II Non-Drowsy/ Non Addictive / Cough Suppressant and Mucolytic Formula 16’s,FDA Advisory No. 2020-103,2020-02-13
Fortune Excaugh® Sputum- Loosening expectorant/coughs reliever 24 Tablets,FDA Advisory No. 2020-103,2020-02-13
Fortune New Pack Coltalin® Cold Tablet With Vitamin B-1 Cold & Flu/Allergy Formula Aspirin Free 12 Tablets,FDA Advisory No. 2020-103,2020-02-13
Fuchingsung-N Cream 10g,FDA Advisory No. 2020-103,2020-02-13
Healthy Brain Pills 300 Pills,FDA Advisory No. 2020-103,2020-02-13
Niuhuang Jiedu Pian 24’s,FDA Advisory No. 2020-103,2020-02-13
OTC (Label in Foreign language) 1’s,FDA Advisory No. 2020-103,2020-02-13
OTC Aciclovir Cream,FDA Advisory No. 2020-103,2020-02-13
OTC Bufferin Plus®Antipyretic- analgesic Drug 10 coated Tablets,FDA Advisory No. 2020-103,2020-02-13
OTC CONBA (Label in Foreign language) 48’s,FDA Advisory No. 2020-103,2020-02-13
OTC Cydiodine Buccal Tablets 15’s,FDA Advisory No. 2020-103,2020-02-13
OTC Erythromycin Ointment 10g,FDA Advisory No. 2020-103,2020-02-13
OTC Shuang Huang Lian Kou Fu Ye 10’s,FDA Advisory No. 2020-103,2020-02-13
Patex Scars Fade Gel 30 g,FDA Advisory No. 2020-103,2020-02-13
Ryukakusan Direct 16’s,FDA Advisory No. 2020-103,2020-02-13
SCHI Eurobex Gel For treatment of scars 15 g,FDA Advisory No. 2020-103,2020-02-13
SCTC Compound Dan Shen Pill 60’s,FDA Advisory No. 2020-103,2020-02-13
SOIN Norfloxacin Capsules 0.1g,FDA Advisory No. 2020-103,2020-02-13
United Laboratories Amoxicillin Capsules 20 Capsules,FDA Advisory No. 2020-103,2020-02-13
Xianhu Shou Wu Pian Natural Herbs Dietary Supplement 100% Radix polygoni multiflori,FDA Advisory No. 2020-103,2020-02-13
Bayer Cyproterone acetate 2mg – Ethinylestradiol 0.035 mg (Diane®- 35) Tablet,FDA Advisory No. 2020-149,2020-02-18
Methyl Salicylate 10%100ml (Bio-Magscent Plus) 60ml,FDA Advisory No. 2020-150,2020-02-18
Salicylic Acid 10g / 5% 25ml,FDA Advisory No. 2020-150,2020-02-18
Methyl Salicylate (Georgine Magson Herbal Oil) 60ml,FDA Advisory No. 2020-151,2020-02-18
Family CareTM Original Strength Bacitracin First Aid Antibiotic Ointment USP 0.5 oz (14g),FDA Advisory No. 2020-152,2020-02-18
Agua (Cleansing Solution) 60mL,FDA Advisory No. 2020-153,2020-02-18
H. Eucalyptmint with Peppermint Herbal Healing Oil All Natural 60ml,FDA Advisory No. 2020-154,2020-02-18
H. Ginger Herbal Healing Oil 60ml,FDA Advisory No. 2020-154,2020-02-18
H. Ginger Herbal Healing Vicks,FDA Advisory No. 2020-154,2020-02-18
Pagkabuhay Herbal Healing Oil 60ml,FDA Advisory No. 2020-154,2020-02-18
Pagkabuhay Herbal Healing Vicks,FDA Advisory No. 2020-154,2020-02-18
Chuan Chiong Liu Wei Di Huang,FDA Advisory No. 2020-155,2020-02-18
Chuan Chiong Liu Wei Di Huang Wan (Concentrated Pill) 240 Pills,FDA Advisory No. 2020-155,2020-02-18
Growful “204” Wei Te Ling,FDA Advisory No. 2020-155,2020-02-18
BJ Boje® Enema 20cc x 2,FDA Advisory No. 2020-176,2020-02-21
Buddha Brand Yee Tin Medical Oil 30 ml,FDA Advisory No. 2020-176,2020-02-21
Cold Analgesic Gel Counterpain Cool® 60 grams,FDA Advisory No. 2020-176,2020-02-21
Crocodile Trademark For Asthma 30 Tablets,FDA Advisory No. 2020-176,2020-02-21
DANSN Gan Mao Tong Film-Coated Tablets 24’s,FDA Advisory No. 2020-176,2020-02-21
DK New Generation Menopause Pill 100’s,FDA Advisory No. 2020-176,2020-02-21
DK Tonifying Lung Capsule 30’S,FDA Advisory No. 2020-176,2020-02-21
Golden Cane-Sugar Free Golden Throat Candy 12’s,FDA Advisory No. 2020-176,2020-02-21
Golden Throat Lozenge 24g,FDA Advisory No. 2020-176,2020-02-21
Green Balm Mosquito Brand,FDA Advisory No. 2020-176,2020-02-21
Jinling Superior Yinchiao Tablet (Chiehtupien) 120 Tabs,FDA Advisory No. 2020-176,2020-02-21
KULIN Brand Laryngitis Pills 30’s,FDA Advisory No. 2020-176,2020-02-21
MD® Pain Fighter Unisex 6 Patches,FDA Advisory No. 2020-176,2020-02-21
OTC Fenbid® Ibuprofen Sustained-released Capsules 20’s,FDA Advisory No. 2020-176,2020-02-21
Oren Herb Sperm – Endengering Pills 150’s,FDA Advisory No. 2020-176,2020-02-21
Polar Bear Brand Essential Embrocation 18ml,FDA Advisory No. 2020-176,2020-02-21
Primary packaging : Ling Nam Ultra Balm 20ml Secondary packaging: Ultra Balm 20 ml,FDA Advisory No. 2020-176,2020-02-21
SANJIN Watermelon Frost 3g,FDA Advisory No. 2020-176,2020-02-21
Sumgel Enema “Aid” 20cc x 10,FDA Advisory No. 2020-176,2020-02-21
Tasly Compound Danshen Dripping Pills 180 pellets,FDA Advisory No. 2020-176,2020-02-21
Tortoise Snake Itch Discharge Toxin Clearing Pills 48’s,FDA Advisory No. 2020-176,2020-02-21
Agua Oxigenada F.E.U. XIV-10 Vols 120mL,FDA Advisory No. 2020-179,2020-02-24
Agua Oxigenada F.E.U. XIV-10 Vols 60mL,FDA Advisory No. 2020-179,2020-02-24
Extra Strength (Superscent Oil) 50mL.,FDA Advisory No. 2020-179,2020-02-24
Extra Strength Methyl Salicylate Camphor + Menthol (Efficasient Oil Liniment) 25mL,FDA Advisory No. 2020-179,2020-02-24
Jspher Lyn’s Marketing Aciete De Manzanilla 25mL.,FDA Advisory No. 2020-179,2020-02-24
Jspher Pure Acetone 25mL.,FDA Advisory No. 2020-179,2020-02-24
Kris Haplas Herbal Oil 60 mL,FDA Advisory No. 2020-179,2020-02-24
Magson Herbal Oil 120 mL,FDA Advisory No. 2020-179,2020-02-24
New Improved Bio-Magsoncent Liniment Oil 120 mL,FDA Advisory No. 2020-179,2020-02-24
Tincture of Benzalkonium Chloride 25m1,FDA Advisory No. 2020-179,2020-02-24
Methergin® (Methylergometrine) 0.125mg Sugar Coated Tablet,FDA Advisory No. 2020-180,2020-02-28
Valium® (Diazepam) 10mg Tablet,FDA Advisory No. 2020-180,2020-02-28
Green Nature Super Rub with Bee Propolis 20gms,FDA Advisory No. 2020-181,2020-02-28
Ceftriaxone Sodium For Injection 1.0g,FDA Advisory No. 2020-0182,2021-02-03
Dawnrays Levocetirizine Dihydrochloride Tablets 5mg,FDA Advisory No. 2020-0182,2021-02-03
Jucishan® Aminomethylbenzoic Acid Injection 10ml:100mg,FDA Advisory No. 2020-0182,2021-02-03
Methyl Salicylate Camphor + Menthol (Megaplas Liniment Oil) 25 mL,FDA Advisory No. 2020-182,2020-03-02
